[2020-11-01 20:48:58] ERROR_LOGS.ERROR: {"REQUEST":{"GET":[],"BODY":null,"REQUEST_METHOD":"GET","REQUEST_URI":"/users","REMOTE_ADDR":"211.186.21.254","HTTP_USER_AGENT":"PostmanRuntime/7.26.5"},"RESPONSE":{"code":500,"message":"SQL Exception -> #0 /var/www/html/dev/api-server/pdos/IndexPdo.php(11): PDOStatement->execute(Array)\n#1 /var/www/html/dev/api-server/controllers/IndexController.php(33): getUsers()\n#2 /var/www/html/dev/api-server/index.php(80): require('/var/www/html/d...')\n#3 {main}"}} [] []
[2020-11-07 18:33:51] ERROR_LOGS.ERROR: {"REQUEST":{"GET":{"size":"4"},"BODY":null,"REQUEST_METHOD":"GET","REQUEST_URI":"/banner?size=4","REMOTE_ADDR":"221.141.225.88","HTTP_USER_AGENT":"PostmanRuntime/7.26.8"},"RESPONSE":{"code":500,"message":"SQL Exception -> #0 /var/www/html/dev/api-server/pdos/IndexPdo.php(10): PDOStatement->execute(Array)\n#1 /var/www/html/dev/api-server/controllers/IndexController.php(94): banner('4')\n#2 /var/www/html/dev/api-server/index.php(85): require('/var/www/html/d...')\n#3 {main}"}} [] []
[2020-11-07 18:35:12] ERROR_LOGS.ERROR: {"REQUEST":{"GET":{"size":"4"},"BODY":null,"REQUEST_METHOD":"GET","REQUEST_URI":"/banner?size=4","REMOTE_ADDR":"221.141.225.88","HTTP_USER_AGENT":"PostmanRuntime/7.26.8"},"RESPONSE":{"code":500,"message":"SQL Exception -> #0 /var/www/html/dev/api-server/pdos/IndexPdo.php(10): PDOStatement->execute(Array)\n#1 /var/www/html/dev/api-server/controllers/IndexController.php(94): banner(4)\n#2 /var/www/html/dev/api-server/index.php(85): require('/var/www/html/d...')\n#3 {main}"}} [] []
[2020-11-07 18:35:14] ERROR_LOGS.ERROR: {"REQUEST":{"GET":{"size":"4"},"BODY":null,"REQUEST_METHOD":"GET","REQUEST_URI":"/banner?size=4","REMOTE_ADDR":"221.141.225.88","HTTP_USER_AGENT":"PostmanRuntime/7.26.8"},"RESPONSE":{"code":500,"message":"SQL Exception -> #0 /var/www/html/dev/api-server/pdos/IndexPdo.php(10): PDOStatement->execute(Array)\n#1 /var/www/html/dev/api-server/controllers/IndexController.php(94): banner(4)\n#2 /var/www/html/dev/api-server/index.php(85): require('/var/www/html/d...')\n#3 {main}"}} [] []
[2020-11-07 18:35:50] ERROR_LOGS.ERROR: {"REQUEST":{"GET":{"size":"4"},"BODY":null,"REQUEST_METHOD":"GET","REQUEST_URI":"/banner?size=4","REMOTE_ADDR":"221.141.225.88","HTTP_USER_AGENT":"PostmanRuntime/7.26.8"},"RESPONSE":{"code":500,"message":"SQL Exception -> #0 /var/www/html/dev/api-server/pdos/IndexPdo.php(10): PDOStatement->execute(Array)\n#1 /var/www/html/dev/api-server/controllers/IndexController.php(94): banner(4)\n#2 /var/www/html/dev/api-server/index.php(85): require('/var/www/html/d...')\n#3 {main}"}} [] []
[2020-11-07 18:35:52] ERROR_LOGS.ERROR: {"REQUEST":{"GET":{"size":"4"},"BODY":null,"REQUEST_METHOD":"GET","REQUEST_URI":"/banner?size=4","REMOTE_ADDR":"221.141.225.88","HTTP_USER_AGENT":"PostmanRuntime/7.26.8"},"RESPONSE":{"code":500,"message":"SQL Exception -> #0 /var/www/html/dev/api-server/pdos/IndexPdo.php(10): PDOStatement->execute(Array)\n#1 /var/www/html/dev/api-server/controllers/IndexController.php(94): banner(4)\n#2 /var/www/html/dev/api-server/index.php(85): require('/var/www/html/d...')\n#3 {main}"}} [] []
[2020-11-07 18:35:52] ERROR_LOGS.ERROR: {"REQUEST":{"GET":{"size":"4"},"BODY":null,"REQUEST_METHOD":"GET","REQUEST_URI":"/banner?size=4","REMOTE_ADDR":"221.141.225.88","HTTP_USER_AGENT":"PostmanRuntime/7.26.8"},"RESPONSE":{"code":500,"message":"SQL Exception -> #0 /var/www/html/dev/api-server/pdos/IndexPdo.php(10): PDOStatement->execute(Array)\n#1 /var/www/html/dev/api-server/controllers/IndexController.php(94): banner(4)\n#2 /var/www/html/dev/api-server/index.php(85): require('/var/www/html/d...')\n#3 {main}"}} [] []
[2020-11-07 18:37:59] ERROR_LOGS.ERROR: {"REQUEST":{"GET":{"size":"4"},"BODY":null,"REQUEST_METHOD":"GET","REQUEST_URI":"/banner?size=4","REMOTE_ADDR":"221.141.225.88","HTTP_USER_AGENT":"PostmanRuntime/7.26.8"},"RESPONSE":{"code":500,"message":"SQL Exception -> #0 /var/www/html/dev/api-server/pdos/IndexPdo.php(10): PDOStatement->execute()\n#1 /var/www/html/dev/api-server/controllers/IndexController.php(94): banner(4)\n#2 /var/www/html/dev/api-server/index.php(85): require('/var/www/html/d...')\n#3 {main}"}} [] []
[2020-11-07 18:38:00] ERROR_LOGS.ERROR: {"REQUEST":{"GET":{"size":"4"},"BODY":null,"REQUEST_METHOD":"GET","REQUEST_URI":"/banner?size=4","REMOTE_ADDR":"221.141.225.88","HTTP_USER_AGENT":"PostmanRuntime/7.26.8"},"RESPONSE":{"code":500,"message":"SQL Exception -> #0 /var/www/html/dev/api-server/pdos/IndexPdo.php(10): PDOStatement->execute()\n#1 /var/www/html/dev/api-server/controllers/IndexController.php(94): banner(4)\n#2 /var/www/html/dev/api-server/index.php(85): require('/var/www/html/d...')\n#3 {main}"}} [] []
[2020-11-07 18:38:12] ERROR_LOGS.ERROR: {"REQUEST":{"GET":{"size":"4"},"BODY":null,"REQUEST_METHOD":"GET","REQUEST_URI":"/banner?size=4","REMOTE_ADDR":"221.141.225.88","HTTP_USER_AGENT":"PostmanRuntime/7.26.8"},"RESPONSE":{"code":500,"message":"SQL Exception -> #0 /var/www/html/dev/api-server/pdos/IndexPdo.php(10): PDOStatement->execute()\n#1 /var/www/html/dev/api-server/controllers/IndexController.php(94): banner(4)\n#2 /var/www/html/dev/api-server/index.php(85): require('/var/www/html/d...')\n#3 {main}"}} [] []
[2020-11-07 18:38:14] ERROR_LOGS.ERROR: {"REQUEST":{"GET":{"size":"3"},"BODY":null,"REQUEST_METHOD":"GET","REQUEST_URI":"/banner?size=3","REMOTE_ADDR":"221.141.225.88","HTTP_USER_AGENT":"PostmanRuntime/7.26.8"},"RESPONSE":{"code":500,"message":"SQL Exception -> #0 /var/www/html/dev/api-server/pdos/IndexPdo.php(10): PDOStatement->execute()\n#1 /var/www/html/dev/api-server/controllers/IndexController.php(94): banner(3)\n#2 /var/www/html/dev/api-server/index.php(85): require('/var/www/html/d...')\n#3 {main}"}} [] []
